person,gloss,tense,tense_translation,tense_base,preverb,preverb_translation,preverb_base,verb,verb_base,verb_type,verb_translation,object,object_translation,object_base,subject,subject_translation,subject_base,mode,mode_translation,mode_base,conjugation
,conj_pref-prs-nitawi-apiVAI-NONE-3SG-conj-,prs,present,-,nitawi,good at,nitawi,apiVAI,api,VAI,sit,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,enitawihapit
,conj_pref-prs-nitawi-mîcisoVAI-NONE-3'-conj-,prs,present,-,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,enitawimîcisoyit
,conj_pref-prs-nitawi-mîcisoVAI-NONE-3SG-conj-,prs,present,-,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,enitawimîcisot
,conj_pref-prs-pe-mîciVTI-NI3sg-3'-conj-,prs,present,-,pe,come and,pê,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3',John's son(s),John okosisa,conj,Conjunct,-,epemîciyit
,conj_pref-prs-pe-mîciVTI-NI3sg-3SG-conj-,prs,present,-,pe,come and,pê,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3SG,s/he,wiya,conj,Conjunct,-,epemîcit
,conj_pref-prs-pe-atawêVAIT-NONE-3'-conj-,prs,present,-,pe,come and,pê,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epeatawêyit
,conj_pref-prs-pe-atawêVAIT-NONE-3SG-conj-,prs,present,-,pe,come and,pê,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epeatawêt
,conj_pref-prs-pe-mêtawêVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epemêtawêyit
,conj_pref-prs-pe-mêtawêVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epemêtawêt
,conj_pref-prs-pe-wâpiVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epewâpiyit
,conj_pref-prs-pe-wâpiVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epewâpit
,conj_pref-prs-pe-waniskaVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epewaniskayit
,conj_pref-prs-pe-waniskaVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epewaniskat
,conj_pref-prs-pe-nipaVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epenipayit
,conj_pref-prs-pe-nipaVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epenipat
,conj_pref-prs-pe-tapasiVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epetapasiyit
,conj_pref-prs-pe-tapasiVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epetapasit
,conj_pref-prs-pe-pimipahtaVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epepimipahtayit
,conj_pref-prs-pe-pimipahtaVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epepimipahtat
,conj_pref-prs-pe-nipawiVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epenipawiyit
,conj_pref-prs-pe-nipawiVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epenipawit
,conj_pref-prs-pe-nanâskomoVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epenanâskomoyit
,conj_pref-prs-pe-nanâskomoVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epenanâskomot
,conj_pref-prs-pe-apiVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,apiVAI,api,VAI,sit,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epeapiyit
,conj_pref-prs-pe-apiVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,apiVAI,api,VAI,sit,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epeapit
,conj_pref-prs-pe-mîcisoVAI-NONE-3'-conj-,prs,present,-,pe,come and,pê,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epemîcisoyit
,conj_pref-prs-pe-mîcisoVAI-NONE-3SG-conj-,prs,present,-,pe,come and,pê,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epemîcisot
,conj_pref-prs-NONE-mîciVTI-NI3sg-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3',John's son(s),John okosisa,conj,Conjunct,-,emîciyit
,conj_pref-prs-NONE-mîciVTI-NI3sg-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3SG,s/he,wiya,conj,Conjunct,-,emîcit
,conj_pref-prs-NONE-atawêVAIT-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,eatawêyit
,conj_pref-prs-NONE-atawêVAIT-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,eatawêt
,conj_pref-prs-NONE-mêtawêVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,emêtawêyit
,conj_pref-prs-NONE-mêtawêVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,emêtawêt
,conj_pref-prs-NONE-wâpiVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,ewâpiyit
,conj_pref-prs-NONE-wâpiVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,ewâpit
,conj_pref-prs-NONE-waniskaVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,ewaniskayit
,conj_pref-prs-NONE-waniskaVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,ewaniskat
,conj_pref-prs-NONE-nipaVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,enipayit
,conj_pref-prs-NONE-nipaVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,enipat
,conj_pref-prs-NONE-tapasiVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,etapasiyit
,conj_pref-prs-NONE-tapasiVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,etapasit
,conj_pref-prs-NONE-pimipahtaVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,epimipahtayit
,conj_pref-prs-NONE-pimipahtaVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,epimipahtat
,conj_pref-prs-NONE-nipawiVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,enipawiyit
,conj_pref-prs-NONE-nipawiVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,enipawit
,conj_pref-prs-NONE-nanâskomoVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,enanâskomoyit
,conj_pref-prs-NONE-nanâskomoVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,enanâskomot
,conj_pref-prs-NONE-apiVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,eapiyit
,conj_pref-prs-NONE-apiVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,eapit
,conj_pref-prs-NONE-mîcisoVAI-NONE-3'-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3',John's son(s),John okosisa,conj,Conjunct,-,emîcisoyit
,conj_pref-prs-NONE-mîcisoVAI-NONE-3SG-conj-,prs,present,-,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3SG,s/he,wiya,conj,Conjunct,-,emîcisot
3,3-prs-ati-mîciVTI-NI3sg-3'-ind-,prs,present,-,ati,begin to,ati,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3',John's son(s),John okosisa,ind,Independent,-,atimîciyiwa
3,3-prs-ati-atawêVAIT-NONE-3'-ind-,prs,present,-,ati,begin to,ati,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atihatawêyiwa
3,3-prs-ati-mêtawêVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atimêtawêyiwa
3,3-prs-ati-wâpiVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atiwâpiyiwa
3,3-prs-ati-waniskaVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atiwaniskayiwa
3,3-prs-ati-nipaVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atinipayiwa
3,3-prs-ati-tapasiVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atitapasiyiwa
3,3-prs-ati-pimipahtaVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atipimipahtayiwa
3,3-prs-ati-nipawiVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atinipawiyiwa
3,3-prs-ati-nanâskomoVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atinanâskomoyiwa
3,3-prs-ati-apiVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,apiVAI,api,VAI,sit,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atihapiyiwa
3,3-prs-ati-mîcisoVAI-NONE-3'-ind-,prs,present,-,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atimîcisoyiwa
3,3-prs-nitawi-mîciVTI-NI3sg-3'-ind-,prs,present,-,nitawi,good at,nitawi,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3',John's son(s),John okosisa,ind,Independent,-,nitawimîciyiwa
3,3-prs-nitawi-atawêVAIT-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawihatawêyiwa
3,3-prs-nitawi-mêtawêVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawimêtawêyiwa
3,3-prs-nitawi-wâpiVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawiwâpiyiwa
3,3-prs-nitawi-waniskaVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawiwaniskayiwa
3,3-prs-nitawi-nipaVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawinipayiwa
3,3-prs-nitawi-tapasiVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawitapasiyiwa
3,3-prs-nitawi-pimipahtaVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawipimipahtayiwa
3,3-prs-nitawi-nipawiVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawinipawiyiwa
3,3-prs-nitawi-nanâskomoVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawinanâskomoyiwa
3,3-prs-nitawi-apiVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,apiVAI,api,VAI,sit,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawihapiyiwa
3,3-prs-nitawi-mîcisoVAI-NONE-3'-ind-,prs,present,-,nitawi,good at,nitawi,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nitawimîcisoyiwa
3,3-prs-pe-mîciVTI-NI3sg-3'-ind-,prs,present,-,pe,come and,pê,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3',John's son(s),John okosisa,ind,Independent,-,pemîciyiwa
3,3-prs-pe-atawêVAIT-NONE-3'-ind-,prs,present,-,pe,come and,pê,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,peatawêyiwa
3,3-prs-pe-mêtawêVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,pemêtawêyiwa
3,3-prs-pe-wâpiVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,pewâpiyiwa
3,3-prs-pe-waniskaVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,pewaniskayiwa
3,3-prs-pe-nipaVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,penipayiwa
3,3-prs-pe-tapasiVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,petapasiyiwa
3,3-prs-pe-pimipahtaVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,pepimipahtayiwa
3,3-prs-pe-nipawiVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,penipawiyiwa
3,3-prs-pe-nanâskomoVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,penanâskomoyiwa
3,3-prs-pe-apiVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,apiVAI,api,VAI,sit,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,peapiyiwa
3,3-prs-pe-mîcisoVAI-NONE-3'-ind-,prs,present,-,pe,come and,pê,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,pemîcisoyiwa
3,3-prs-NONE-mîciVTI-NI3sg-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3',John's son(s),John okosisa,ind,Independent,-,mîciyiwa
3,3-prs-NONE-atawêVAIT-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,atawêyiwa
3,3-prs-NONE-mêtawêVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,mêtawêyiwa
3,3-prs-NONE-wâpiVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,wâpiyiwa
3,3-prs-NONE-waniskaVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,waniskayiwa
3,3-prs-NONE-nipaVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nipayiwa
3,3-prs-NONE-tapasiVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,tapasiyiwa
3,3-prs-NONE-pimipahtaVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,pimipahtayiwa
3,3-prs-NONE-nipawiVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nipawiyiwa
3,3-prs-NONE-nanâskomoVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,nanâskomoyiwa
3,3-prs-NONE-apiVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,apiVAI,api,VAI,sit,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,apiyiwa
3,3-prs-NONE-mîcisoVAI-NONE-3'-ind-,prs,present,-,NONE,no preverb,mahkikway preverb,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,mîcisoyiwa
3,3-fut_def-ati-mîciVTI-NI3sg-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3',John's son(s),John okosisa,ind,Independent,-,kahatimîciyiwa
3,3-fut_def-ati-atawêVAIT-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatihatawêyiwa
3,3-fut_def-ati-mêtawêVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatimêtawêyiwa
3,3-fut_def-ati-wâpiVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatiwâpiyiwa
3,3-fut_def-ati-waniskaVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatiwaniskayiwa
3,3-fut_def-ati-nipaVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatinipayiwa
3,3-fut_def-ati-tapasiVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatitapasiyiwa
3,3-fut_def-ati-pimipahtaVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatipimipahtayiwa
3,3-fut_def-ati-nipawiVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatinipawiyiwa
3,3-fut_def-ati-nanâskomoVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatinanâskomoyiwa
3,3-fut_def-ati-apiVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,apiVAI,api,VAI,sit,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatihapiyiwa
3,3-fut_def-ati-mîcisoVAI-NONE-3'-ind-,fut_def,future definite,ka,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kahatimîcisoyiwa
3,3-fut_def-nitawi-mîciVTI-NI3sg-3'-ind-,fut_def,future definite,ka,nitawi,good at,nitawi,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,3',John's son(s),John okosisa,ind,Independent,-,kanitawimîciyiwa
3,3-fut_def-nitawi-atawêVAIT-NONE-3'-ind-,fut_def,future definite,ka,nitawi,good at,nitawi,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kanitawihatawêyiwa
3,3-fut_def-nitawi-mêtawêVAI-NONE-3'-ind-,fut_def,future definite,ka,nitawi,good at,nitawi,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kanitawimêtawêyiwa
3,3-fut_def-nitawi-wâpiVAI-NONE-3'-ind-,fut_def,future definite,ka,nitawi,good at,nitawi,wâpiVAI,wâpi,VAI,see,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kanitawiwâpiyiwa
3,3-fut_def-nitawi-waniskaVAI-NONE-3'-ind-,fut_def,future definite,ka,nitawi,good at,nitawi,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kanitawiwaniskayiwa
3,3-fut_def-nitawi-nipaVAI-NONE-3'-ind-,fut_def,future definite,ka,nitawi,good at,nitawi,nipaVAI,nipa,VAI,sleep,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kanitawinipayiwa
3,3-fut_def-nitawi-tapasiVAI-NONE-3'-ind-,fut_def,future definite,ka,nitawi,good at,nitawi,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kanitawitapasiyiwa
3,3-fut_def-nitawi-pimipahtaVAI-NONE-3'-ind-,fut_def,future definite,ka,nitawi,good at,nitawi,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kanitawipimipahtayiwa
3,3-fut_def-nitawi-nipawiVAI-NONE-3'-ind-,fut_def,future definite,ka,nitawi,good at,nitawi,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,3',John's son(s),John okosisa,ind,Independent,-,kanitawinipawiyiwa
